N 	x	y	u	u*	|u - u*|
0	0	0	0	0	0
1	0.125	0	0	0	0
2	0.25	0	0	0	0
3	0.375	0	0	0	0
4	0.5	0	0	0	0
5	0.625	0	0	0	0
6	0.75	0	0	0	0
7	0.875	0	0	0	0
8	1	0	1	1	0
9	1.125	0	1.42383	1.42383	0
10	1.25	0	1.95312	1.95312	0
11	1.375	0	2.59961	2.59961	0
12	1.5	0	3.375	3.375	0
13	1.625	0	4.29102	4.29102	0
14	1.75	0	5.35938	5.35938	0
15	1.875	0	6.5918	6.5918	0
16	2	0	8	8	0
17	2.125	0	0	0	0
18	2.25	0	0	0	0
19	2.375	0	0	0	0
20	2.5	0	0	0	0
21	2.625	0	0	0	0
22	2.75	0	0	0	0
23	2.875	0	0	0	0
24	3	0	0	0	0
25	3.125	0	0	0	0
26	3.25	0	0	0	0
27	3.375	0	0	0	0
28	3.5	0	0	0	0
29	3.625	0	0	0	0
30	3.75	0	0	0	0
31	3.875	0	0	0	0
32	4	0	0	0	0
33	0	0.125	0	0	0
34	0.125	0.125	0	0	0
35	0.25	0.125	0	0	0
36	0.375	0.125	0	0	0
37	0.5	0.125	0	0	0
38	0.625	0.125	0	0	0
39	0.75	0.125	0	0	0
40	0.875	0.125	0	0	0
41	1	0.125	1.00391	1.00391	0
42	1.125	0.125	1.42773	1.64694	0.219201
43	1.25	0.125	1.95703	2.32376	0.366734
44	1.375	0.125	2.60352	3.06203	0.45851
45	1.5	0.125	3.37891	3.87803	0.499123
46	1.625	0.125	4.29492	4.78186	0.486933
47	1.75	0.125	5.36328	5.77769	0.414408
48	1.875	0.125	6.5957	6.86038	0.264677
49	2	0.125	8.00391	8.00391	0
50	2.125	0.125	0	0	0
51	2.25	0.125	0	0	0
52	2.375	0.125	0	0	0
53	2.5	0.125	0	0	0
54	2.625	0.125	0	0	0
55	2.75	0.125	0	0	0
56	2.875	0.125	0	0	0
57	3	0.125	0	0	0
58	3.125	0.125	0	0	0
59	3.25	0.125	0	0	0
60	3.375	0.125	0	0	0
61	3.5	0.125	0	0	0
62	3.625	0.125	0	0	0
63	3.75	0.125	0	0	0
64	3.875	0.125	0	0	0
65	4	0.125	0	0	0
66	0	0.25	0	0	0
67	0.125	0.25	0	0	0
68	0.25	0.25	0	0	0
69	0.375	0.25	0	0	0
70	0.5	0.25	0	0	0
71	0.625	0.25	0	0	0
72	0.75	0.25	0	0	0
73	0.875	0.25	0	0	0
74	1	0.25	1.03125	1.03125	0
75	1.125	0.25	1.45508	1.83967	0.384589
76	1.25	0.25	1.98438	2.6387	0.654329
77	1.375	0.25	2.63086	3.45386	0.823004
78	1.5	0.25	3.40625	4.30104	0.894786
79	1.625	0.25	4.32227	5.1883	0.866029
80	1.75	0.25	5.39062	6.11562	0.724996
81	1.875	0.25	6.62305	7.07226	0.449216
82	2	0.25	8.03125	8.03125	0
83	2.125	0.25	0	0	0
84	2.25	0.25	0	0	0
85	2.375	0.25	0	0	0
86	2.5	0.25	0	0	0
87	2.625	0.25	0	0	0
88	2.75	0.25	0	0	0
89	2.875	0.25	0	0	0
90	3	0.25	0	0	0
91	3.125	0.25	0	0	0
92	3.25	0.25	0	0	0
93	3.375	0.25	0	0	0
94	3.5	0.25	0	0	0
95	3.625	0.25	0	0	0
96	3.75	0.25	0	0	0
97	3.875	0.25	0	0	0
98	4	0.25	0	0	0
99	0	0.375	0	0	0
100	0.125	0.375	0	0	0
101	0.25	0.375	0	0	0
102	0.375	0.375	0	0	0
103	0.5	0.375	0	0	0
104	0.625	0.375	0	0	0
105	0.75	0.375	0	0	0
106	0.875	0.375	0	0	0
107	1	0.375	1.10547	1.10547	0
108	1.125	0.375	1.5293	2.04779	0.518491
109	1.25	0.375	2.05859	2.94774	0.889151
110	1.375	0.375	2.70508	3.82655	1.12147
111	1.5	0.375	3.48047	4.69794	1.21747
112	1.625	0.375	4.39648	5.5682	1.17171
113	1.75	0.375	5.46484	6.43557	0.970722
114	1.875	0.375	6.69727	7.28882	0.591553
115	2	0.375	8.10547	8.10547	0
116	2.125	0.375	0	0	0
117	2.25	0.375	0	0	0
118	2.375	0.375	0	0	0
119	2.5	0.375	0	0	0
120	2.625	0.375	0	0	0
121	2.75	0.375	0	0	0
122	2.875	0.375	0	0	0
123	3	0.375	0	0	0
124	3.125	0.375	0	0	0
125	3.25	0.375	0	0	0
126	3.375	0.375	0	0	0
127	3.5	0.375	0	0	0
128	3.625	0.375	0	0	0
129	3.75	0.375	0	0	0
130	3.875	0.375	0	0	0
131	4	0.375	0	0	0
132	0	0.5	0	0	0
133	0.125	0.5	0	0	0
134	0.25	0.5	0	0	0
135	0.375	0.5	0	0	0
136	0.5	0.5	0	0	0
137	0.625	0.5	0	0	0
138	0.75	0.5	0	0	0
139	0.875	0.5	0	0	0
140	1	0.5	1.25	1.25	0
141	1.125	0.5	1.67383	2.30637	0.632544
142	1.25	0.5	2.20312	3.29183	1.08871
143	1.375	0.5	2.84961	4.22416	1.37455
144	1.5	0.5	3.625	5.115	1.49
145	1.625	0.5	4.54102	5.96931	1.42829
146	1.75	0.5	5.60938	6.78479	1.17542
147	1.875	0.5	6.8418	7.55122	0.709423
148	2	0.5	8.25	8.25	0
149	2.125	0.5	0	0	0
150	2.25	0.5	0	0	0
151	2.375	0.5	0	0	0
152	2.5	0.5	0	0	0
153	2.625	0.5	0	0	0
154	2.75	0.5	0	0	0
155	2.875	0.5	0	0	0
156	3	0.5	0	0	0
157	3.125	0.5	0	0	0
158	3.25	0.5	0	0	0
159	3.375	0.5	0	0	0
160	3.5	0.5	0	0	0
161	3.625	0.5	0	0	0
162	3.75	0.5	0	0	0
163	3.875	0.5	0	0	0
164	4	0.5	0	0	0
165	0	0.625	0	0	0
166	0.125	0.625	0	0	0
167	0.25	0.625	0	0	0
168	0.375	0.625	0	0	0
169	0.5	0.625	0	0	0
170	0.625	0.625	0	0	0
171	0.75	0.625	0	0	0
172	0.875	0.625	0	0	0
173	1	0.625	1.48828	1.48828	0
174	1.125	0.625	1.91211	2.64575	0.733643
175	1.25	0.625	2.44141	3.70607	1.26466
176	1.375	0.625	3.08789	4.68474	1.59685
177	1.5	0.625	3.86328	5.59187	1.72858
178	1.625	0.625	4.7793	6.43155	1.65226
179	1.75	0.625	5.84766	7.20144	1.35378
180	1.875	0.625	7.08008	7.89235	0.812275
181	2	0.625	8.48828	8.48828	0
182	2.125	0.625	0	0	0
183	2.25	0.625	0	0	0
184	2.375	0.625	0	0	0
185	2.5	0.625	0	0	0
186	2.625	0.625	0	0	0
187	2.75	0.625	0	0	0
188	2.875	0.625	0	0	0
189	3	0.625	0	0	0
190	3.125	0.625	0	0	0
191	3.25	0.625	0	0	0
192	3.375	0.625	0	0	0
193	3.5	0.625	0	0	0
194	3.625	0.625	0	0	0
195	3.75	0.625	0	0	0
196	3.875	0.625	0	0	0
197	4	0.625	0	0	0
198	0	0.75	0	0	0
199	0.125	0.75	0	0	0
200	0.25	0.75	0	0	0
201	0.375	0.75	0	0	0
202	0.5	0.75	0	0	0
203	0.625	0.75	0	0	0
204	0.75	0.75	0	0	0
205	0.875	0.75	0	0	0
206	1	0.75	1.84375	1.84375	0
207	1.125	0.75	2.26758	3.09375	0.826171
208	1.25	0.75	2.79688	4.22171	1.42484
209	1.375	0.75	3.44336	5.24181	1.79845
210	1.5	0.75	4.21875	6.16318	1.94443
211	1.625	0.75	5.13477	6.98942	1.85465
212	1.75	0.75	6.20312	7.71821	1.51509
213	1.875	0.75	7.43555	8.34116	0.905616
214	2	0.75	8.84375	8.84375	0
215	2.125	0.75	0	0	0
216	2.25	0.75	0	0	0
217	2.375	0.75	0	0	0
218	2.5	0.75	0	0	0
219	2.625	0.75	0	0	0
220	2.75	0.75	0	0	0
221	2.875	0.75	0	0	0
222	3	0.75	0	0	0
223	3.125	0.75	0	0	0
224	3.25	0.75	0	0	0
225	3.375	0.75	0	0	0
226	3.5	0.75	0	0	0
227	3.625	0.75	0	0	0
228	3.75	0.75	0	0	0
229	3.875	0.75	0	0	0
230	4	0.75	0	0	0
231	0	0.875	0	0	0
232	0.125	0.875	0	0	0
233	0.25	0.875	0	0	0
234	0.375	0.875	0	0	0
235	0.5	0.875	0	0	0
236	0.625	0.875	0	0	0
237	0.75	0.875	0	0	0
238	0.875	0.875	0	0	0
239	1	0.875	2.33984	2.33984	0
240	1.125	0.875	2.76367	3.67669	0.913019
241	1.25	0.875	3.29297	4.86748	1.57451
242	1.375	0.875	3.93945	5.92572	1.98627
243	1.5	0.875	4.71484	6.86002	2.14518
244	1.625	0.875	5.63086	7.6737	2.04284
245	1.75	0.875	6.69922	8.36451	1.66529
246	1.875	0.875	7.93164	8.92448	0.992843
247	2	0.875	9.33984	9.33984	0
248	2.125	0.875	0	0	0
249	2.25	0.875	0	0	0
250	2.375	0.875	0	0	0
251	2.5	0.875	0	0	0
252	2.625	0.875	0	0	0
253	2.75	0.875	0	0	0
254	2.875	0.875	0	0	0
255	3	0.875	0	0	0
256	3.125	0.875	0	0	0
