N	x	y	u	u*	|u - u*|
0	0	0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1	2.000000000000000e+00	0.000000000000000e+00	2.000000000000000e+00	2.000000000000000e+00	0.000000000000000e+00
2	4.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	4.000000000000000e+00
3	6.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.000000000000000e+00	6.000000000000000e+00
4	8.000000000000000e+00	0.000000000000000e+00	8.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00
5	1.000000000000000e+01	0.000000000000000e+00	1.000000000000000e+01	1.000000000000000e+01	0.000000000000000e+00
6	0.000000000000000e+00	2.000000000000000e+00	2.000000000000000e+00	2.000000000000000e+00	0.000000000000000e+00
7	2.000000000000000e+00	2.000000000000000e+00	2.984126984126984e+00	4.000000000000000e+00	1.015873015873016e+00
8	4.000000000000000e+00	2.000000000000000e+00	0.000000000000000e+00	6.000000000000000e+00	6.000000000000000e+00
9	6.000000000000000e+00	2.000000000000000e+00	0.000000000000000e+00	8.000000000000000e+00	8.000000000000000e+00
10	8.000000000000000e+00	2.000000000000000e+00	8.603174603174603e+00	1.000000000000000e+01	1.396825396825397e+00
11	1.000000000000000e+01	2.000000000000000e+00	1.200000000000000e+01	1.200000000000000e+01	0.000000000000000e+00
12	0.000000000000000e+00	4.000000000000000e+00	4.000000000000000e+00	4.000000000000000e+00	0.000000000000000e+00
13	2.000000000000000e+00	4.000000000000000e+00	3.873015873015873e+00	6.000000000000000e+00	2.126984126984127e+00
14	4.000000000000000e+00	4.000000000000000e+00	0.000000000000000e+00	8.000000000000000e+00	8.000000000000000e+00
15	6.000000000000000e+00	4.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+01	1.000000000000000e+01
16	8.000000000000000e+00	4.000000000000000e+00	8.825396825396824e+00	1.200000000000000e+01	3.174603174603176e+00
17	1.000000000000000e+01	4.000000000000000e+00	1.400000000000000e+01	1.400000000000000e+01	0.000000000000000e+00
18	0.000000000000000e+00	6.000000000000000e+00	6.000000000000000e+00	6.000000000000000e+00	0.000000000000000e+00
19	2.000000000000000e+00	6.000000000000000e+00	0.000000000000000e+00	8.000000000000000e+00	8.000000000000000e+00
20	4.000000000000000e+00	6.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+01	1.000000000000000e+01
21	6.000000000000000e+00	6.000000000000000e+00	0.000000000000000e+00	1.200000000000000e+01	1.200000000000000e+01
22	8.000000000000000e+00	6.000000000000000e+00	0.000000000000000e+00	1.400000000000000e+01	1.400000000000000e+01
23	1.000000000000000e+01	6.000000000000000e+00	1.600000000000000e+01	1.600000000000000e+01	0.000000000000000e+00
24	0.000000000000000e+00	8.000000000000000e+00	8.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00
25	2.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+01	1.000000000000000e+01
26	4.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00	1.200000000000000e+01	1.200000000000000e+01
27	6.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00	1.400000000000000e+01	1.400000000000000e+01
28	8.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00	1.600000000000000e+01	1.600000000000000e+01
29	1.000000000000000e+01	8.000000000000000e+00	1.800000000000000e+01	1.800000000000000e+01	0.000000000000000e+00
30	0.000000000000000e+00	1.000000000000000e+01	1.000000000000000e+01	1.000000000000000e+01	0.000000000000000e+00
31	2.000000000000000e+00	1.000000000000000e+01	1.200000000000000e+01	1.200000000000000e+01	0.000000000000000e+00
32	4.000000000000000e+00	1.000000000000000e+01	1.400000000000000e+01	1.400000000000000e+01	0.000000000000000e+00
33	6.000000000000000e+00	1.000000000000000e+01	1.600000000000000e+01	1.600000000000000e+01	0.000000000000000e+00
34	8.000000000000000e+00	1.000000000000000e+01	1.800000000000000e+01	1.800000000000000e+01	0.000000000000000e+00
35	1.000000000000000e+01	1.000000000000000e+01	2.000000000000000e+01	2.000000000000000e+01	0.000000000000000e+00
