N 	x	y	u	u*	|u - u*|
0	0	0	0	0	0
1	0.5	0	0	0	0
2	1	0	1	1	0
3	1.5	0	1.5	1.5	0
4	2	0	2	2	0
5	2.5	0	0	0	0
6	3	0	0	0	0
7	3.5	0	0	0	0
8	4	0	0	0	0
9	0	0.5	0	0	0
10	0.5	0.5	0	0	0
11	1	0.5	1.5	1.5	0
12	1.5	0.5	0	10	10
13	2	0.5	2.5	42.5	40
14	2.5	0.5	0	0	0
15	3	0.5	0	0	0
16	3.5	0.5	0	0	0
17	4	0.5	0	0	0
18	0	1	0	0	0
19	0.5	1	0	0	0
20	1	1	2	2	0
21	1.5	1	0	12	12
22	2	1	3	51	48
23	2.5	1	0	0	0
24	3	1	0	0	0
25	3.5	1	0	0	0
26	4	1	0	0	0
27	0	1.5	0	0	0
28	0.5	1.5	0	0	0
29	1	1.5	2.5	2.5	0
30	1.5	1.5	0	14	14
31	2	1.5	3.5	59.5	56
32	2.5	1.5	0	0	0
33	3	1.5	0	0	0
34	3.5	1.5	0	0	0
35	4	1.5	0	0	0
36	0	2	0	0	0
37	0.5	2	0	0	0
38	1	2	3	3	0
39	1.5	2	0	16	16
40	2	2	4	68	64
41	2.5	2	0	0	0
42	3	2	0	0	0
43	3.5	2	0	0	0
44	4	2	0	0	0
45	0	2.5	0	0	0
46	0.5	2.5	0	0	0
47	1	2.5	3.5	3.5	0
48	1.5	2.5	0	18	18
49	2	2.5	4.5	76.5	72
50	2.5	2.5	0	0	0
51	3	2.5	0	0	0
52	3.5	2.5	0	0	0
53	4	2.5	0	0	0
54	0	3	3	3	0
55	0.5	3	3.5	3.5	0
56	1	3	4	-nan(ind)	nan
57	1.5	3	0	-nan(ind)	nan
58	2	3	5	-nan(ind)	nan
59	2.5	3	5.5	-nan(ind)	nan
60	3	3	6	-nan(ind)	nan
61	3.5	3	0	-nan(ind)	nan
62	4	3	0	-nan(ind)	nan
63	0	3.5	3.5	-nan(ind)	nan
64	0.5	3.5	0	-nan(ind)	nan
65	1	3.5	0	-nan(ind)	nan
66	1.5	3.5	0	-nan(ind)	nan
67	2	3.5	0	-nan(ind)	nan
68	2.5	3.5	0	-nan(ind)	nan
69	3	3.5	6.5	-nan(ind)	nan
70	3.5	3.5	0	-nan(ind)	nan
71	4	3.5	0	-nan(ind)	nan
72	0	4	4	-nan(ind)	nan
73	0.5	4	4.5	-nan(ind)	nan
74	1	4	5	-nan(ind)	nan
75	1.5	4	5.5	-nan(ind)	nan
76	2	4	6	-nan(ind)	nan
77	2.5	4	6.5	-nan(ind)	nan
78	3	4	7	-nan(ind)	nan
79	3.5	4	0	-nan(ind)	nan
80	4	4	0	-nan(ind)	nan
